month_end,history_start,history_end,formula_id,selected_geo,selected_positive,gross_return,turnover,transaction_cost,realized_return
2021-03-31,2020-03-31,2021-02-28,F0913,0.12590773735586858,0.9166666666666666,0.13465632832031535,0.7,0.0014,0.13325632832031534
2021-04-30,2020-03-31,2021-03-31,F0913,0.1264713178499639,0.9230769230769231,0.012702088790099042,0.7,0.0014,0.011302088790099042
2021-05-31,2020-03-31,2021-04-30,F0741,0.12018962144319745,0.8571428571428571,0.012265079054040418,0.35,0.0007,0.011565079054040419
2021-06-30,2020-03-31,2021-05-31,F0741,0.11259822700178224,0.8666666666666667,-0.042669565741545186,0.55,0.0011,-0.04376956574154518
2021-07-31,2020-03-31,2021-06-30,F0741,0.10211617412629082,0.8125,0.05303697056789074,0.65,0.0013,0.051736970567890735
2021-08-31,2020-03-31,2021-07-31,F0913,0.1015519113818033,0.8823529411764706,0.06517959024816225,0.75,0.0015,0.06367959024816225
2021-09-30,2020-03-31,2021-08-31,F0913,0.09941295292795749,0.8888888888888888,0.059603306936255006,0.7,0.0014,0.05820330693625501
2021-10-31,2020-03-31,2021-09-30,F0913,0.09720455064212064,0.8947368421052632,-0.010879033089220053,0.44999999999999996,0.0009,-0.011779033089220053
2021-11-30,2020-03-31,2021-10-31,F0913,0.09148035472082916,0.85,0.01291376466735913,0.5,0.001,0.01191376466735913
2021-12-31,2020-03-31,2021-11-30,F0913,0.08755334884418642,0.8571428571428571,-0.014239453666475915,0.4,0.0008,-0.015039453666475916
2022-01-31,2020-03-31,2021-12-31,F0704,0.08357875290944117,0.8181818181818182,-0.0029737579418979477,0.55,0.0011,-0.0040737579418979476
2022-02-28,2020-03-31,2022-01-31,F0704,0.0796120625599257,0.782608695652174,-0.0005523381070942635,0.5,0.001,-0.0015523381070942635
2022-03-31,2020-03-31,2022-02-28,F0704,0.07610205471176812,0.75,0.003437909117722854,0.44999999999999996,0.0009,0.0025379091177228537
2022-04-30,2020-04-30,2022-03-31,F0691,0.063626557422515,0.75,-0.07110245791016581,0.55,0.0011,-0.07220245791016582
2022-05-31,2020-05-31,2022-04-30,F0387,0.06593909781721163,0.8333333333333334,-0.10150549133289448,0.5,0.001,-0.10250549133289448
2022-06-30,2020-06-30,2022-05-31,F0387,0.061280921052628834,0.8333333333333334,-0.007671784084440908,0.5,0.001,-0.008671784084440907
2022-07-31,2020-07-31,2022-06-30,F0387,0.05956991902319997,0.7916666666666666,0.09154609900655857,0.44999999999999996,0.0009,0.09064609900655857
2022-08-31,2020-08-31,2022-07-31,F0866,0.060603203795431604,0.625,-0.06736627930875119,0.6,0.0012,-0.0685662793087512
2022-09-30,2020-09-30,2022-08-31,F0387,0.058260654634100684,0.7916666666666666,-0.012293004923932965,0.25,0.0005,-0.012793004923932965
2022-10-31,2020-10-31,2022-09-30,F0866,0.0594207382227383,0.625,0.027892731128698157,0.6,0.0012,0.026692731128698157
2022-11-30,2020-11-30,2022-10-31,F0866,0.05526620005905358,0.625,0.023712697196201872,0.5,0.001,0.02271269719620187
2022-12-31,2020-12-31,2022-11-30,F0387,0.05514811572330003,0.75,-0.014542999511917048,0.44999999999999996,0.0009,-0.015442999511917048
2023-01-31,2021-01-31,2022-12-31,F0866,0.0521374899154996,0.5833333333333334,-0.022096770334823684,0.55,0.0011,-0.023196770334823685
2023-02-28,2021-02-28,2023-01-31,F0866,0.05003158827517051,0.5416666666666666,-0.002314511342087039,0.4,0.0008,-0.0031145113420870387
2023-03-31,2021-03-31,2023-02-28,F0387,0.04213090959805754,0.6666666666666666,-0.002481768215237062,0.30000000000000004,0.0006000000000000001,-0.003081768215237062
2023-04-30,2021-04-30,2023-03-31,F0387,0.031193300546721536,0.625,0.43771618695753267,0.19999999999999996,0.0003999999999999999,0.43731618695753266
2023-05-31,2021-05-31,2023-04-30,F0387,0.048129517451363846,0.6666666666666666,-0.01725348527412688,0.44999999999999996,0.0009,-0.01815348527412688
2023-06-30,2021-06-30,2023-05-31,F0387,0.044307299180966764,0.625,0.017570696065019403,0.35,0.0007,0.016870696065019404
2023-07-31,2021-07-31,2023-06-30,F0387,0.045624915399308685,0.6666666666666666,-0.014053291659000822,0.25,0.0005,-0.014553291659000822
2023-08-31,2021-08-31,2023-07-31,F0387,0.03829022477992616,0.625,-0.029212278050139213,0.35,0.0007,-0.029912278050139213
