month_end,history_start,history_end,formula_id,selected_geo,selected_positive,gross_return,turnover,transaction_cost,realized_return
2021-03-31,2020-03-31,2021-02-28,F0897,0.13211252521557793,0.9166666666666666,0.1448720015309773,0.65,0.0013,0.1435720015309773
2021-04-30,2020-03-31,2021-03-31,F0387,0.1416549235794644,0.8461538461538461,0.05839047148121272,0.6,0.0012,0.05719047148121272
2021-05-31,2020-03-31,2021-04-30,F0387,0.13540408648826197,0.8571428571428571,0.043692388830337874,0.7,0.0014,0.042292388830337875
2021-06-30,2020-03-31,2021-05-31,F0387,0.12894571768116814,0.8666666666666667,-0.05946291949235315,0.65,0.0013,-0.06076291949235315
2021-07-31,2020-03-31,2021-06-30,F0387,0.11603919231381599,0.8125,0.04179131495571649,0.7,0.0014,0.04039131495571649
2021-08-31,2020-03-31,2021-07-31,F0387,0.11144082348725393,0.8235294117647058,0.014498106935312371,0.65,0.0013,0.01319810693531237
2021-09-30,2020-03-31,2021-08-31,F0681,0.11637158949339277,0.7777777777777778,0.03450910269442137,0.55,0.0011,0.03340910269442137
2021-10-31,2020-03-31,2021-09-30,F0681,0.1118435910644533,0.7894736842105263,-0.0720467816221687,0.4,0.0008,-0.07284678162216869
2021-11-30,2020-03-31,2021-10-31,F0681,0.1017906630478207,0.75,0.09139005352185309,0.55,0.0011,0.09029005352185308
2021-12-31,2020-03-31,2021-11-30,F0681,0.1012402742403613,0.7619047619047619,-0.00803896921558273,0.5,0.001,-0.00903896921558273
2022-01-31,2020-03-31,2021-12-31,F0681,0.09597111499462008,0.7272727272727273,-0.04332411245519342,0.4,0.0008,-0.044124112455193425
2022-02-28,2020-03-31,2022-01-31,F0681,0.08947333116950196,0.6956521739130435,0.009414716130262735,0.5,0.001,0.008414716130262734
2022-03-31,2020-03-31,2022-02-28,F0681,0.08596929042713541,0.7083333333333334,-0.02426221854049523,0.55,0.0011,-0.02536221854049523
2022-04-30,2020-04-30,2022-03-31,F0806,0.07166034468364768,0.75,-0.00803359788687083,0.44999999999999996,0.0009,-0.00893359788687083
2022-05-31,2020-05-31,2022-04-30,F0806,0.06701474361201587,0.7083333333333334,0.0027397615217712263,0.6,0.0012,0.0015397615217712264
2022-06-30,2020-06-30,2022-05-31,F0806,0.06587739204357179,0.7083333333333334,-0.04937434938876738,0.75,0.0015,-0.05087434938876738
2022-07-31,2020-07-31,2022-06-30,F0806,0.06240000764116371,0.6666666666666666,-0.01122044531335507,0.55,0.0011,-0.01232044531335507
2022-08-31,2020-08-31,2022-07-31,F0740,0.058747770074650596,0.75,-0.07308892689240283,0.9,0.0018,-0.07488892689240283
2022-09-30,2020-09-30,2022-08-31,F0806,0.061786914686189576,0.6666666666666666,-0.016412156661094995,0.44999999999999996,0.0009,-0.017312156661094997
2022-10-31,2020-10-31,2022-09-30,F0806,0.06257615985607679,0.6666666666666666,0.006365897503035667,0.19999999999999996,0.0003999999999999999,0.0059658975030356665
2022-11-30,2020-11-30,2022-10-31,F0806,0.057171462551128815,0.6666666666666666,-0.010506785722971026,0.44999999999999996,0.0009,-0.011406785722971026
2022-12-31,2020-12-31,2022-11-30,F0806,0.05292920410900881,0.625,0.037807602392739406,0.55,0.0011,0.03670760239273941
2023-01-31,2021-01-31,2022-12-31,F0806,0.05314093879515602,0.625,-0.08340974778189349,0.4,0.0008,-0.08420974778189348
2023-02-28,2021-02-28,2023-01-31,F0806,0.04768147359179786,0.5833333333333334,0.02036735221648996,0.4,0.0008,0.01956735221648996
2023-03-31,2021-03-31,2023-02-28,F0806,0.029488249473955674,0.5833333333333334,-0.08031273150172322,0.35,0.0007,-0.08101273150172322
2023-04-30,2021-04-30,2023-03-31,F0809,0.01778897548270053,0.75,-0.002876133712324154,0.44999999999999996,0.0009,-0.0037761337123241537
2023-05-31,2021-05-31,2023-04-30,F0806,0.01859463358569169,0.5833333333333334,-0.1018462651006996,0.4,0.0008,-0.1026462651006996
2023-06-30,2021-06-30,2023-05-31,F0809,0.016360919522028672,0.7083333333333334,-0.0006056536039366096,0.6,0.0012,-0.0018056536039366094
2023-07-31,2021-07-31,2023-06-30,F0695,0.01868610530317394,0.5416666666666666,0.15302437621791143,0.7,0.0014,0.15162437621791142
2023-08-31,2021-08-31,2023-07-31,F0695,0.020925729735028264,0.5416666666666666,-0.06770540897514873,0.7,0.0014,-0.06910540897514873
2023-09-30,2021-09-30,2023-08-31,F0809,0.015280844024115892,0.6666666666666666,-0.0577441933641192,0.6,0.0012,-0.0589441933641192
2023-10-31,2021-10-31,2023-09-30,F0809,0.012141918347969183,0.625,-0.022519222121610363,0.6,0.0012,-0.023719222121610362
2023-11-30,2021-11-30,2023-10-31,F0815,0.010620238195885312,0.625,0.015993938478254744,0.6,0.0012,0.014793938478254744
2023-12-31,2021-12-31,2023-11-30,F0809,0.007379449003831473,0.5833333333333334,0.007321997198336155,0.65,0.0013,0.006021997198336155
2024-01-31,2022-01-31,2023-12-31,F0695,0.007247477477725139,0.5,0.022494891133134798,0.65,0.0013,0.0211948911331348
2024-02-29,2022-02-28,2024-01-31,F0695,0.01067153122394271,0.5416666666666666,-0.011770825295776988,0.55,0.0011,-0.012870825295776989
2024-11-30,2022-11-30,2024-10-31,F0187,0.01287254843819774,0.625,-0.08057842803081411,0.9,0.0018,-0.0823784280308141
2024-12-31,2022-12-31,2024-11-30,F0187,0.006030390665963559,0.5625,-0.08832418587165898,0.7,0.0014,-0.08972418587165898
2025-01-31,2023-01-31,2024-12-31,F0552,-0.0006994902941206416,0.4375,-0.07639363953956486,0.75,0.0015,-0.07789363953956487
2025-02-28,2023-02-28,2025-01-31,F0249,0.001067137613705027,0.5625,-0.0037834232520092604,0.6,0.0012,-0.0049834232520092605
