factor_a,factor_b,pair_selection_months,pair_event_coverage,family_a,family_b
avg_amount20,mom6,26,0.5416666666666666,liquidity,medium_momentum_reversal
avg_amount20,mom12,25,0.5208333333333334,liquidity,long_momentum_reversal
mom12,mom6,19,0.3958333333333333,long_momentum_reversal,medium_momentum_reversal
mom6,vol20,14,0.2916666666666667,medium_momentum_reversal,volatility
high52_ratio,vol20,10,0.20833333333333334,52w_position,volatility
mom12,vol20,10,0.20833333333333334,long_momentum_reversal,volatility
avg_amount20,mom3,10,0.20833333333333334,liquidity,short_reversal
high52_ratio,mom12,8,0.16666666666666666,52w_position,long_momentum_reversal
high52_ratio,maxdd60,7,0.14583333333333334,52w_position,drawdown_risk
high52_ratio,mom6,7,0.14583333333333334,52w_position,medium_momentum_reversal
maxdd60,mom6,7,0.14583333333333334,drawdown_risk,medium_momentum_reversal
maxdd60,vol20,7,0.14583333333333334,drawdown_risk,volatility
avg_amount20,vol20,7,0.14583333333333334,liquidity,volatility
mom3,mom6,7,0.14583333333333334,short_reversal,medium_momentum_reversal
mom1,mom12,6,0.125,short_reversal,long_momentum_reversal
avg_amount20,high52_ratio,5,0.10416666666666667,liquidity,52w_position
avg_amount20,mom1,5,0.10416666666666667,liquidity,short_reversal
high52_ratio,mom1,5,0.10416666666666667,52w_position,short_reversal
maxdd60,mom12,4,0.08333333333333333,drawdown_risk,long_momentum_reversal
avg_amount20,maxdd60,1,0.020833333333333332,liquidity,drawdown_risk
maxdd60,mom3,1,0.020833333333333332,drawdown_risk,short_reversal
mom12,mom3,1,0.020833333333333332,long_momentum_reversal,short_reversal
