formula_id,selected_months,selection_share,formula_terms,term_count,cosine_to_m1
F0387,12,0.25,avg_amount20:-0.2378;mom12:+0.4998;mom6:+0.2624,3,0.0
F0913,7,0.14583333333333334,high52_ratio:-0.3790;maxdd60:-0.2459;mom6:+0.2351;vol20:+0.1400,4,0.0
F0024,7,0.14583333333333334,avg_amount20:-0.2834;mom12:+0.3716;mom6:+0.1616;vol20:-0.1833,4,0.0
F0170,7,0.14583333333333334,avg_amount20:-0.5479;mom3:-0.2206;mom6:+0.2316,3,0.0
F0866,5,0.10416666666666667,avg_amount20:-0.3008;high52_ratio:-0.1213;mom1:+0.1444;mom12:+0.4335,4,-0.2577533778137196
F0741,3,0.0625,high52_ratio:-0.1756;mom12:-0.6124;vol20:+0.2120,3,0.0
F0704,3,0.0625,maxdd60:-0.2576;mom12:-0.7424,2,0.0
F0048,2,0.041666666666666664,avg_amount20:-0.3282;mom3:-0.6718,2,0.0
F0037,1,0.020833333333333332,avg_amount20:-0.1936;maxdd60:+0.1382;mom12:-0.2658;mom3:-0.4024,4,0.0
F0691,1,0.020833333333333332,mom1:+0.4783;mom12:+0.5217,2,-0.6757186080106428
