candidate,train_dev_geo,stress_train_dev_geo,min_geo,dev_dd,robust_score,candidate
RSI_DIV_TV_OSC,0.002153775568338898,0.0021019830903059866,0.0021019830903059866,-5.0000000000105516e-05,0.0020894830903059602,RSI_DIV_TV_OSC
TV_MTF_OSC,0.0007918064383647454,0.0007875334643023203,0.0007875334643023203,0.0,0.0007875334643023203,TV_MTF_OSC
BB_RSI_MACD_ADX,0.00010422282114651257,9.553627640643318e-05,9.553627640643318e-05,0.0,9.553627640643318e-05,BB_RSI_MACD_ADX
TV_ALL_STRONG,0.0,0.0,0.0,0.0,0.0,TV_ALL_STRONG
TV_OSC_STRONG,0.0,0.0,0.0,0.0,0.0,TV_OSC_STRONG
TV_REVERSAL_STRONG,0.0,0.0,0.0,0.0,0.0,TV_REVERSAL_STRONG
TV_MTF_ALL,0.0,0.0,0.0,0.0,0.0,TV_MTF_ALL
SUPER_RSI_TREND,0.0,0.0,0.0,0.0,0.0,SUPER_RSI_TREND
SQUEEZE_RELEASE_MOM,0.0,0.0,0.0,0.0,0.0,SQUEEZE_RELEASE_MOM
SQUEEZE_KC15_MOM,0.0,0.0,0.0,0.0,0.0,SQUEEZE_KC15_MOM
SQUEEZE_KC20_TV,0.0,0.0,0.0,0.0,0.0,SQUEEZE_KC20_TV
DONCHIAN55_TV,0.0,0.0,0.0,0.0,0.0,DONCHIAN55_TV
DONCHIAN55_ADX,0.0,0.0,0.0,0.0,0.0,DONCHIAN55_ADX
ICHIMOKU_RSI_MACD,0.0,0.0,0.0,0.0,0.0,ICHIMOKU_RSI_MACD
RSI_DIV_HAMMER,-2.8612163586604508e-05,-7.21370730866571e-05,-7.21370730866571e-05,-5.0000000000105516e-05,-8.463707308668348e-05,RSI_DIV_HAMMER
RSI2_PULLBACK,-9.790774937400317e-05,-0.00015452010997858736,-0.00015452010997858736,-4.999999999999449e-05,-0.00016702010997858598,RSI2_PULLBACK
OBV_TV_CONFIRM,-6.534255405860353e-05,-7.404457424709482e-05,-7.404457424709482e-05,-0.0015017990159865713,-0.00044949432824373763,OBV_TV_CONFIRM
TV_ALL_BUY,-0.0002363382400777049,-0.0002798320876045892,-0.0002798320876045892,-0.00165156875364314,-0.0006927242760153742,TV_ALL_BUY
TV_MA_BUY,-0.0004296098365746591,-0.00048189775692693515,-0.00048189775692693515,-0.001551796515986581,-0.0008698468859235804,TV_MA_BUY
BB_REENTRY_RSI,0.0017150220959966603,0.0015328403550903772,0.0015328403550903772,-0.010197930614392892,-0.0010166422985078457,BB_REENTRY_RSI
TV_REVERSAL,0.004706019100887148,0.003970851887472452,0.003970851887472452,-0.022920725080056825,-0.001759329382541754,TV_REVERSAL
TV_OSC_BUY,0.004639822508409312,0.0038959081935145174,0.0038959081935145174,-0.024352037087594924,-0.0021921010783842137,TV_OSC_BUY
STRENGTH_NOT_DEEP,-0.00589390442729322,-0.006911902807585225,-0.006911902807585225,-0.028054557515692413,-0.013925542186508329,STRENGTH_NOT_DEEP
POOL50_TVOSC,0.004853159355591949,0.0009761145486436326,0.0009761145486436326,-0.09271018239959505,-0.02220143105125513,POOL50_TVOSC
POOL50_ST,-0.0005089952136081704,-0.0044070226684237955,-0.0044070226684237955,-0.08456809777389163,-0.025549047111896702,POOL50_ST
POOL50_TVALL,0.003720731342993039,-0.00016840092197432162,-0.00016840092197432162,-0.1343753379712378,-0.03376223541478377,POOL50_TVALL
POOL50_REVERSAL,-0.004141776843352577,-0.007953361406747858,-0.007953361406747858,-0.13134433441527238,-0.04078944501056595,POOL50_REVERSAL
POOL50_RSI_DIV,-0.0017335337317240782,-0.005621667963362364,-0.005621667963362364,-0.14766562231985025,-0.04253807354332493,POOL50_RSI_DIV
POOL50_SQUEEZE,-0.004660321489783007,-0.008548414547339357,-0.008548414547339357,-0.16963528861658728,-0.05095723670148618,POOL50_SQUEEZE
ATRP_RISK_GATE,-0.011896415021409455,-0.013456111384865802,-0.013456111384865802,-0.160958114914036,-0.0536956401133748,ATRP_RISK_GATE
POOL100_TVALL,-0.008947616608843082,-0.01284006765273467,-0.01284006765273467,-0.1910855375111058,-0.06061145203051112,POOL100_TVALL
POOL50_MTF,-3.2699225256604405e-05,-0.0038925693122808676,-0.0038925693122808676,-0.2292983147574521,-0.06121714800164389,POOL50_MTF
POOL50_VOLUME,-0.0008356064277913753,-0.0047149340448638865,-0.0047149340448638865,-0.2315846636767951,-0.06261109996406265,POOL50_VOLUME
POOL100_MTF,-0.00713775202934819,-0.011013762306986117,-0.011013762306986117,-0.2247798704676347,-0.06720872992389479,POOL100_MTF
BASELINE,-0.004453729356658944,-0.0081911108880427,-0.0081911108880427,-0.29735544986484896,-0.08252997335425494,BASELINE
